title,category,link
How US election fraud claims changed as Trump won - Both Trump fans and Harris supporters baselessly claimed large-scale voter fraud in Tuesday's election.,Americas,https://www.bbc.com/news/articles/cy9j8r8gg0do
Would Donald Trump’s tariffs hurt US consumers? - Trump claims more taxes on trade wouldn't be a cost to the US - almost all economists dispute this.,Americas,https://www.bbc.com/news/articles/c20myx1erl6o
BBC Verify on claims of Pennsylvania voter fraud - Claims have been spreading on social media alleging voter fraud in Pennsylvania - BBC Verify examines them.,Americas,https://www.bbc.com/news/videos/c9wrp5gnqwvo
Ros Atkins on... Harris's struggle to distance herself from Biden - The BBC's analysis editor looks at the political tightrope the vice-president has to walk to present a new vision.,Americas,https://www.bbc.com/news/videos/cpqdl1r3p0yo
"No, Hurricane Milton was not 'engineered' - Social media is awash with bogus claims that Hurricane Milton has been “engineered”. What are the facts? ",Reality Check,https://www.bbc.com/news/articles/cx2lyzw7xwxo
Biden condemns misinformation about hurricane - BBC Verify looks into claims made about the US government's response to Hurricane Helene. ,Americas,https://www.bbc.com/news/articles/czd1q9q9gl9o
Fake 'Kamala Harris ad' used AI voice and UK department store advert - BBC Verify analysed a false post claiming to show a pro-abortion campaign ad that has widely circulated on social media.,Americas,https://www.bbc.com/news/videos/cqjrwkw128no
Smear campaign against celebrity-endorsed nature reserve exposed - How did a Philippine nature reserve get caught up in an information battle?,Asia,https://www.bbc.com/news/articles/cp39zvv6kl4o
Baseless claim about Harris crash spread by mysterious website - The false story has been viewed millions of times online - we break down how you can know it was fake.,Reality Check,https://www.bbc.com/news/articles/cy4ye15le8xo
"Investigating Musk's far-fetched claim about Democrats importing voters  - BBC Verify investigates the claim by Elon Musk that Democrats import illegal immigrants to vote.
",Americas,https://www.bbc.com/news/articles/czd5l0d3794o
"Pennsylvania officials reject viral claim about illegal voters - Pennsylvania officials reject claim that ""illegal voters"" were able to apply for mail-in ballots. ",Americas,https://www.bbc.com/news/articles/ckgzyxwvrnpo
Ros Atkins on… Would Donald Trump accept defeat? - The BBC's analysis editor examines what happened in 2020 and how the Republican might react if he were to lose again.,Reality Check,https://www.bbc.com/news/videos/clyr87g3j31o
Would Harris's price gouging plan really help US consumers?  - The Democrat has proposed a federal ban in certain circumstances - economists are divided on whether it would work.,Americas,https://www.bbc.com/news/articles/czxv65245kgo
"Fact-checking Kamala Harris's 'media blitz' - BBC Verify fact-checks claims by Kamala Harris about immigration, abortion and the economy.",Reality Check,https://www.bbc.com/news/articles/ckg911gl0vdo
"Russian drones hunt civilians, evidence suggests - Ukrainians tell of their fear as BBC Verify analyses videos appearing to show drone strikes on civilians.",Europe,https://www.bbc.com/news/articles/c207gz7key6o
BBC Verify analyses footage of Hamas leader Yahya Sinwar's killing - The BBC's analysis editor Ros Atkins looks at footage said to show Yahya Sinwar's final moments.,Middle East,https://www.bbc.com/news/videos/cj9jkvrg1kjo
'Your son will die': How blessing scammers prowl streets - Female crooks are exploiting superstition and family love to swindle other women.,Reality Check,https://www.bbc.com/news/articles/cn5zn1l6g5yo
